source_type,source_id,album_code,album_title,album_type,category_name,track_count,duration_text,last_update,play_count_text,cover_url,source_url,summary
book,28893944,LR_ALB_00000001,重生八一渔猎西北|赶海|年代|种田|都市重生爽文|多人精品有声剧,audiobook,都市传说,4215,1468294,2026-06-12,1亿,https://bookpic.lrts.me/2QbCsfNYShGq8pLHzw5YxrLTOFD1AYZE-1-28893944_180x254.png,https://www.lrts.me/book/28893944,带着上一世许多遗憾的李龙，重生回到了八一年。这一年，土地还没包干，他还没成家，哥哥也没因为他摔死，而侄子侄女还健康成长。引发后世一切问题的根源还没发生，一切都还来得及！在这个年代，一双胶鞋就能在山里换一只羊，一把手电就能在山里换来一对鹿角。对于李龙来说，这是最好的年代，他不求大富大贵，只想着打打猎，捕捕渔，过上幸福的小日子。
book,38490616,LR_ALB_00000002,神秘复苏|冠冠演播|恐怖惊悚|火爆神作灵异悬疑|江湖物资|异能布局,audiobook,悬疑推理,5081,1879433,2026-01-12,2亿,https://bookpic.lrts.me/TLbkyoOYi3WHrVGgzGA6qA3uQ6qJLSY4-1-38490616_180x254.png,https://www.lrts.me/book/38490616,人是杀不死鬼的！能对付鬼的只有鬼！驭鬼者！ “我叫杨间，当你看到这句话的时候我已经死了......” 一张诡异的羊皮卷，一只窥视黑暗的眼睛，这是一个活下来的人经历的故事。 厉鬼，鬼域，血肉改造，我到底经历了什么！？又是怎样的存在？！
book,40536306,LR_ALB_00000003,单田芳：童林传|250回,audiobook,单田芳,250,377474,2024-08-11,194万,https://bookpic.lrts.me/bvq1e2rjXc0eX3ii5rd7iXkXgi1e5mXb_180x254.png,https://www.lrts.me/book/40536306,"《童林传》评书说的是清康熙年间，童林（字海川）因贪恋赌博,将父亲气伤后被父亲赶走。他绝路逢生，不仅得到武林名士何道源、尚道明相救相帮，而且练就“八卦柳叶绵丝掌”、“子母鸡爪鸳鸯钺”等绝顶功夫。童林学艺8年,最后奉师之命要""别开天地,另创一家""创立无极门,主修内家功.下山之后，童林以他正义、淳厚的为人赢得武林正派人主的信赖，使他们与他一起同各种邪恶势力进行争斗。在武林志士得帮助下，童林协助朝廷钦差年羹尧粉碎了英王富昌及十四阿哥的反叛阴谋。在此期间，他与雍亲王胤禛相遇相知，结为至..."
book,44494985,LR_ALB_00000004,单田芳：白眉大侠|320回,audiobook,单田芳,320,541028,2024-08-04,774万,https://bookpic.lrts.me/vqhyw2myikwer1uwe3nove2m9s781ae1_180x254.png,https://www.lrts.me/book/44494985,《白眉大侠》讲述的是宋朝仁宗年间，开封府包公手下以白眉大侠徐良、玉面小达摩白云瑞为首的侠义英雄保国安民的故事。 白眉大侠徐良、蒋平等校尉在泰山救驾后，发现了晋王赵吉企图弑君篡位的阴谋，为粉碎晋王赵吉和武林邪恶势力的阴谋，他们和邪恶的武林枭雄展开了一场殊死斗争。 徐良、白云瑞等人不顾个人安危，力败莲花观，决斗天竺寺，大破三仙岛，后宫擒贵妃，血战小蓬莱，最终将以金灯剑客夏遂良为首的武林枭雄铲除。该剧在展现正义和邪恶抗争的同时，还细腻的描述了徐良与严英云、白云瑞与陆小英的爱情故事，...
book,46633675,LR_ALB_00000005,九天帝尊|龙腾九天|魂武双修|逆袭打脸|废柴崛起|热血争霸,audiobook,玄幻奇幻,2757,952006,2026-01-23,755万,https://bookpic.lrts.me/yyXcZhnDSdWipWNYX1arVxApZTxdpr78-1-46633675_180x254.png,https://www.lrts.me/book/46633675,我本为天骄，明珠蒙尘。一朝觉醒，龙腾重九天。 来自地球老乡的灵魂穿越到天生双脉的家族少年身上，魂武双修洗刷废物之名，万古天脉之体重现于世，天外九天谁敢称帝？谁人干与天外一战
book,49354282,LR_ALB_00000006,我靠败家，在七零富甲一方|穿越|暴富|系统|年代文|爽文,audiobook,穿越架空,550,224874,2026-06-12,4万,https://bookpic.lrts.me/lPPbTL5NigwZ5O0Sd251IL8Vs0tr6xw1-1-49354282_180x254.png,https://www.lrts.me/book/49354282,败家系统来喽。看着家徒四壁的晏清歌眼前一亮，从此过上别人攒粮票，她砸钱买手表；全村骂浪费，系统却翻倍返现金的生活。从倒腾布料到拿下军供厂，她越花越富，硬把饥荒年过成万元户。丈夫升军衔，娃们穿新衣，昔日笑她的邻居排队求抱大腿。败家就是为了赚钱，赚钱就是更要败家。亲爱的宿主，今天准备好败家了吗？
book,58300278,LR_ALB_00000007,北派盗墓笔记|周建龙演播|全网霸榜|写实盗墓文| 灵异探险|作者云峰,audiobook,悬疑推理,4286,1340785,2026-06-12,3亿,https://bookpic.lrts.me/1dG1x8A9dfn6I4RlEDXSYHHbkpaXwAT2-1-58300278_180x254.png,https://www.lrts.me/book/58300278,我是一个东北山村的穷小子，二十世纪初，为了出人头地，我加入了一个北方派盗墓团伙。从南到北，江湖百态，三教九流，这么多年从少年混到了中年，酒量见长，岁月蹉跎，我曾接触过许许多多的奇人异事，各位如有兴趣，不妨搬来小板凳，听一听，一位盗墓贼的江湖见闻。
book,61752466,LR_ALB_00000008,史上最强赘婿|百人多播剧|轻松搞笑|小白爽文|软饭流,audiobook,玄幻奇幻,2165,1012949,2025-02-02,3亿,https://bookpic.lrts.me/6joxY9BSurm1XeFVHNdypXNx4Ccebf0x-1-61752466_180x254.png,https://www.lrts.me/book/61752466,穿越变吃软饭的赘婿，高智商装叉打脸爽文，套路层出不穷，环环相扣。 人竟然可以无耻到只能用3个字形容：骚，贱，浪。 穿越异世成为财主家的小白脸赘婿，因太废物被赶出来。于是他发奋图强，找一个更有权有势绝美高贵的豪门千金做了上门女婿。 练武是不可能练武的，这辈子都不可能练武，只能靠吃软饭才能维持生活！ 我要把老婆培养成第一高手，谁敢惹我，我就让我娘子打死你！
book,61804896,LR_ALB_00000009,遮天|完结多人剧|曲中人有故事领衔|动漫热播原著,audiobook,武侠仙侠,3374,1088544,2026-05-21,2亿,https://bookpic.lrts.me/5mfiD79ZezeQe0YOSAKz2M2SeeaGW0b5-1-61804896_180x254.png,https://www.lrts.me/book/61804896,不为成仙，只为在红尘中等你归来。 做人不能太段德，做狗不能太黑皇。 岁月如刀斩天骄，长生路上叹妖娆。 登天路，踏歌行，弹指遮天。
book,62765656,LR_ALB_00000010,逍遥四公子|爆笑穿越|重生逆袭|精品多人有声剧,audiobook,历史幻想,2865,1190266,2026-06-12,2亿,https://bookpic.lrts.me/J9PbTdeJVkzOFu97O2pcueCLPplOVWDl-1-62765656_180x254.png,https://www.lrts.me/book/62765656,宁宸穿越到了一个历史中从未出现过的朝代，本想一心搞钱，做个快乐逍遥的富家翁，三妻四妾，安度余生...可结果一不小心声名鹊起，名动大玄皇朝。 少年扬刀，诛奸臣，平四夷，南征北战，再回首已是‘封狼居胥’，名动天下！
